Main Role,Sub Role,Question number,Difficulty,Question
Software Engineering,Junior Software Engineer,1,easy,Explain the difference between a stack and a queue.
Software Engineering,Junior Software Engineer,2,mid,What is a linked list? How do you reverse a singly linked list?
Software Engineering,Junior Software Engineer,3,high,Write code to find the maximum element in an array.
Software Engineering,Junior Software Engineer,4,easy,"Explain time and space complexity. Give examples for O(1), O(n), O(n^2)."
Software Engineering,Junior Software Engineer,5,mid,What is a hash table and how does it handle collisions?
Software Engineering,Junior Software Engineer,6,high,Describe the difference between == and === (or language-specific equality operators).
Software Engineering,Junior Software Engineer,7,easy,Explain how a binary search works and its complexity.
Software Engineering,Junior Software Engineer,8,mid,What is recursion? Give an example problem solved by recursion.
Software Engineering,Junior Software Engineer,9,high,How does bubble sort work? What's its time complexity?
Software Engineering,Junior Software Engineer,10,easy,What are functions/methods and why are they useful?
Software Engineering,Junior Software Engineer,11,mid,"Explain basic HTTP request methods (GET, POST, PUT, DELETE)."
Software Engineering,Junior Software Engineer,12,high,What is REST and RESTful API?
Software Engineering,Junior Software Engineer,13,easy,Describe the MVC architecture.
Software Engineering,Junior Software Engineer,14,mid,What is version control and why use Git?
Software Engineering,Junior Software Engineer,15,high,Explain the purpose of unit testing.
Software Engineering,Junior Software Engineer,16,easy,What is continuous integration (CI)?
Software Engineering,Junior Software Engineer,17,mid,How do you debug a program? Mention tools you use.
Software Engineering,Junior Software Engineer,18,high,Explain the difference between compiled and interpreted languages.
Software Engineering,Junior Software Engineer,19,easy,What is an exception and how do you handle it?
Software Engineering,Junior Software Engineer,20,mid,Describe the lifecycle of a web request in a typical web app.
Software Engineering,Junior Software Engineer,21,high,What are CSS selectors and how do they work?
Software Engineering,Junior Software Engineer,22,easy,Explain DOM and event handling in web browsers.
Software Engineering,Junior Software Engineer,23,mid,What is responsive design?
Software Engineering,Junior Software Engineer,24,high,How do you optimize SQL queries?
Software Engineering,Junior Software Engineer,25,easy,Explain INNER JOIN vs LEFT JOIN.
Software Engineering,Junior Software Engineer,26,mid,What is normalization in databases?
Software Engineering,Junior Software Engineer,27,high,Describe ACID properties of transactions.
Software Engineering,Junior Software Engineer,28,easy,What are environment variables and why use them?
Software Engineering,Junior Software Engineer,29,mid,Explain the concept of authentication vs authorization.
Software Engineering,Junior Software Engineer,30,high,What is CORS and why does it matter?
